game_id,var,value
ANA200106030,save,
ANA200106030,hometeam_score,7
ANA200106030,awayteam_score,2
ANA200106050,visteam,OAK
ANA200106050,hometeam,ANA
ANA200106050,site,ANA01
ANA200106050,date,6/5/01
ANA200106050,number,0
ANA200106050,starttime,7:07PM
ANA200106050,daynight,night
ANA200106050,usedh,TRUE
ANA200106050,umphome,fichm901
ANA200106050,ump1b,eddid901
ANA200106050,ump2b,gormb901
ANA200106050,ump3b,guccc901
ANA200106050,howscored,park
ANA200106050,pitches,pitches
ANA200106050,oscorer,munse701
ANA200106050,temp,70
ANA200106050,winddir,ltor
ANA200106050,windspeed,5
ANA200106050,fieldcond,unknown
ANA200106050,precip,unknown
ANA200106050,sky,sunny
ANA200106050,timeofgame,159
ANA200106050,attendance,16166
ANA200106050,wp,washj001
ANA200106050,lp,muldm001
ANA200106050,save,
ANA200106050,hometeam_score,7
ANA200106050,awayteam_score,3
ANA200106060,visteam,OAK
ANA200106060,hometeam,ANA
ANA200106060,site,ANA01
ANA200106060,date,6/6/01
ANA200106060,number,0
ANA200106060,starttime,7:07PM
ANA200106060,daynight,night
ANA200106060,usedh,TRUE
ANA200106060,umphome,eddid901
ANA200106060,ump1b,gormb901
ANA200106060,ump2b,guccc901
ANA200106060,ump3b,fichm901
ANA200106060,howscored,park
ANA200106060,pitches,pitches
ANA200106060,oscorer,munse701
ANA200106060,temp,71
ANA200106060,winddir,ltor
ANA200106060,windspeed,6
ANA200106060,fieldcond,unknown
ANA200106060,precip,unknown
ANA200106060,sky,sunny
ANA200106060,timeofgame,169
ANA200106060,attendance,15356
ANA200106060,wp,hudst001
ANA200106060,lp,rappp001
ANA200106060,save,isrij001
ANA200106060,hometeam_score,1
ANA200106060,awayteam_score,4
ANA200106070,visteam,OAK
ANA200106070,hometeam,ANA
ANA200106070,site,ANA01
ANA200106070,date,6/7/01
ANA200106070,number,0
ANA200106070,starttime,7:07PM
ANA200106070,daynight,night
ANA200106070,usedh,TRUE
ANA200106070,umphome,gormb901
ANA200106070,ump1b,guccc901
ANA200106070,ump2b,fichm901
ANA200106070,ump3b,eddid901
ANA200106070,howscored,park
ANA200106070,pitches,pitches
ANA200106070,oscorer,munse701
ANA200106070,temp,68
ANA200106070,winddir,ltor
ANA200106070,windspeed,3
ANA200106070,fieldcond,unknown
ANA200106070,precip,unknown
ANA200106070,sky,sunny
ANA200106070,timeofgame,177
ANA200106070,attendance,15859
ANA200106070,wp,schos001
ANA200106070,lp,zitob001
ANA200106070,save,perct001
ANA200106070,hometeam_score,6
ANA200106070,awayteam_score,4
ANA200106150,visteam,LAN
ANA200106150,hometeam,ANA
ANA200106150,site,ANA01
ANA200106150,date,6/15/01
ANA200106150,number,0
ANA200106150,starttime,7:07PM
ANA200106150,daynight,night
ANA200106150,usedh,TRUE
ANA200106150,umphome,buckc901
ANA200106150,ump1b,kellj901
ANA200106150,ump2b,reilm901
ANA200106150,ump3b,timmt901
ANA200106150,howscored,park
ANA200106150,pitches,pitches
ANA200106150,oscorer,munse701
ANA200106150,temp,71
ANA200106150,winddir,ltor
ANA200106150,windspeed,5
ANA200106150,fieldcond,unknown
ANA200106150,precip,unknown
ANA200106150,sky,sunny
ANA200106150,timeofgame,183
ANA200106150,attendance,42287
ANA200106150,wp,parkc002
ANA200106150,lp,ortir002
ANA200106150,save,fettm001
ANA200106150,hometeam_score,2
ANA200106150,awayteam_score,6
ANA200106160,visteam,LAN
ANA200106160,hometeam,ANA
ANA200106160,site,ANA01
ANA200106160,date,6/16/01
ANA200106160,number,0
ANA200106160,starttime,7:06PM
ANA200106160,daynight,night
ANA200106160,usedh,TRUE
ANA200106160,umphome,kellj901
ANA200106160,ump1b,reilm901
ANA200106160,ump2b,timmt901
ANA200106160,ump3b,buckc901
ANA200106160,howscored,park
ANA200106160,pitches,pitches
ANA200106160,oscorer,munse701
ANA200106160,temp,75
ANA200106160,winddir,tolf
ANA200106160,windspeed,7
ANA200106160,fieldcond,unknown
ANA200106160,precip,unknown
ANA200106160,sky,sunny
ANA200106160,timeofgame,165
ANA200106160,attendance,43429
ANA200106160,wp,perct001
ANA200106160,lp,hergm001
ANA200106160,save,
ANA200106160,hometeam_score,5
ANA200106160,awayteam_score,5
ANA200106170,visteam,LAN
ANA200106170,hometeam,ANA
ANA200106170,site,ANA01
ANA200106170,date,6/17/01
ANA200106170,number,0
ANA200106170,starttime,1:08PM
ANA200106170,daynight,day
ANA200106170,usedh,TRUE
ANA200106170,umphome,reilm901
ANA200106170,ump1b,timmt901
ANA200106170,ump2b,buckc901
ANA200106170,ump3b,kellj901
ANA200106170,howscored,park
ANA200106170,pitches,pitches
ANA200106170,oscorer,munse701
ANA200106170,temp,81
ANA200106170,winddir,ltor
ANA200106170,windspeed,4
ANA200106170,fieldcond,unknown
ANA200106170,precip,unknown
ANA200106170,sky,sunny
ANA200106170,timeofgame,196
ANA200106170,attendance,43001
ANA200106170,wp,levia001
ANA200106170,lp,shawj001
ANA200106170,save,
ANA200106170,hometeam_score,2
ANA200106170,awayteam_score,4
ANA200106250,visteam,TEX
ANA200106250,hometeam,ANA
ANA200106250,site,ANA01
ANA200106250,date,6/25/01
ANA200106250,number,0
ANA200106250,starttime,7:07PM
ANA200106250,daynight,night
ANA200106250,usedh,TRUE
ANA200106250,umphome,herna901
ANA200106250,ump1b,marsr901
ANA200106250,ump2b,wendh902
ANA200106250,ump3b,wolfj901
ANA200106250,howscored,park
